day,month,duration,campaign,y,customer_id,sign_up_probability,layer2_sign_up_probability,age,education,default,balance,housing,loan,probability_bin,job,contact,marital
20,apr,766,2,no,33452,0.2608137275980008,0.9600555555555556,36,tertiary,no,20,yes,no,0.2-0.3,management,telephone,single
28,may,536,7,no,6856,0.3353443768391207,0.9592499999999999,30,secondary,no,397,yes,no,0.3-0.4,blue-collar,unknown,single
15,may,895,5,no,38590,0.7176703622697665,0.9591666666666667,54,secondary,no,-394,yes,no,0.7-0.8,blue-collar,telephone,married
26,may,500,2,no,39562,0.8992753384310617,0.9581190476190475,37,secondary,no,11303,no,no,0.8-0.9,blue-collar,telephone,married
4,feb,191,1,no,29814,0.3455792045392757,0.9555340136054423,48,unknown,no,343,no,no,0.3-0.4,management,telephone,married
21,nov,744,2,no,27189,0.9819645596064308,0.9542261904761904,39,secondary,no,458,no,no,0.9-1.0,blue-collar,telephone,married
17,apr,468,1,no,32584,0.3790169258180226,0.9541428571428571,24,secondary,no,9,yes,yes,0.3-0.4,blue-collar,telephone,married
9,jun,718,3,no,9985,0.2682327739170516,0.954,41,secondary,no,3216,no,no,0.2-0.3,entrepreneur,unknown,single
9,apr,304,1,no,31889,0.9348519561448032,0.9538333333333334,59,secondary,no,817,no,no,0.9-1.0,blue-collar,telephone,married
5,may,418,3,no,34718,0.44557169965303456,0.951547619047619,47,tertiary,no,0,no,no,0.4-0.5,entrepreneur,telephone,married
22,apr,220,1,no,33729,0.49743800547684847,0.9481190476190475,71,tertiary,no,780,no,no,0.4-0.5,retired,telephone,married
5,feb,728,4,no,30559,0.40477355496082446,0.944047619047619,32,primary,no,158,yes,no,0.4-0.5,blue-collar,telephone,married
16,apr,301,3,no,32456,0.6191035762423932,0.9412501135815089,33,secondary,no,818,yes,yes,0.6-0.7,blue-collar,telephone,married
3,feb,446,1,no,29591,0.5019650015617703,0.9409523809523809,32,secondary,no,0,no,no,0.5-0.6,technician,telephone,single
1,jun,111,1,no,39815,0.9939952579401514,0.940618776285443,46,secondary,no,2087,no,no,0.9-1.0,blue-collar,telephone,married
21,nov,846,1,no,26956,0.2882779251877662,0.9404285714285714,31,tertiary,yes,-405,yes,yes,0.2-0.3,entrepreneur,telephone,single
21,aug,575,4,no,22202,0.6886995837216517,0.9383333333333332,33,tertiary,no,433,no,no,0.6-0.7,management,telephone,married
15,apr,313,3,no,32188,0.36493721995596107,0.9383134920634921,40,secondary,no,985,yes,no,0.3-0.4,blue-collar,telephone,single
20,apr,334,1,no,33361,0.8574043661873116,0.938,44,secondary,no,-865,yes,no,0.8-0.9,technician,telephone,married
25,aug,702,2,no,22851,0.28696261063118167,0.9372619047619049,45,secondary,no,1335,yes,no,0.2-0.3,blue-collar,telephone,married
16,feb,223,7,no,31089,0.7311456584000422,0.9354047619047617,82,tertiary,no,278,no,no,0.7-0.8,retired,telephone,married
7,apr,366,1,no,31704,0.6577267059809183,0.9349841269841269,33,tertiary,no,0,yes,no,0.6-0.7,management,telephone,married
20,nov,486,1,no,26222,0.40119905075543616,0.9348216228216227,59,secondary,no,667,no,no,0.4-0.5,retired,telephone,married
11,may,469,1,no,36097,0.6367284957349564,0.9325178571428571,49,secondary,no,-212,yes,yes,0.6-0.7,blue-collar,telephone,married
21,nov,695,3,no,27521,0.524949702906389,0.9304404761904762,30,primary,no,5641,no,no,0.5-0.6,blue-collar,telephone,single
19,nov,625,1,no,25967,0.4323042323149843,0.9291190476190476,50,tertiary,no,5794,no,no,0.4-0.5,management,telephone,married
30,jul,528,2,no,17904,0.42615093147193134,0.9288571428571427,47,secondary,no,-874,yes,no,0.4-0.5,blue-collar,telephone,single
20,apr,328,2,no,33376,0.7785290295181672,0.9266666666666667,37,tertiary,no,43,yes,no,0.7-0.8,blue-collar,telephone,married
9,feb,284,2,no,30816,0.9783875024353272,0.926477272727273,31,secondary,no,476,no,no,0.9-1.0,blue-collar,telephone,single
20,nov,541,1,no,26314,0.472539098087326,0.922047619047619,34,secondary,no,7541,no,no,0.4-0.5,blue-collar,telephone,single
14,jul,552,3,no,14479,0.5380472186965134,0.9214999999999999,48,secondary,no,-621,no,yes,0.5-0.6,housemaid,telephone,married
19,nov,457,2,no,25982,0.564468823470283,0.9213769841269843,31,tertiary,no,3361,no,no,0.5-0.6,self-employed,telephone,single
17,apr,649,1,no,32776,0.4094881322111913,0.9202301587301587,39,secondary,no,248,yes,no,0.4-0.5,blue-collar,telephone,married
5,feb,1837,1,no,30344,0.23713711869624884,0.9195555555555555,60,tertiary,no,361,no,no,0.2-0.3,unemployed,telephone,single
26,may,135,1,no,39601,0.9350588201151431,0.9177777777777778,28,tertiary,no,336,no,no,0.9-1.0,blue-collar,telephone,single
8,aug,521,4,no,19915,0.9303147858688002,0.9157619047619048,57,secondary,no,3242,no,no,0.9-1.0,blue-collar,telephone,married
1,apr,647,2,no,31495,0.4753796434340954,0.90975,34,secondary,no,13408,no,no,0.4-0.5,blue-collar,telephone,single
5,feb,519,1,no,30197,0.9927437345630036,0.9055238095238096,50,secondary,no,381,no,no,0.9-1.0,blue-collar,telephone,married
26,may,140,1,no,39593,0.6622739760726251,0.9053333333333333,59,tertiary,no,81,no,no,0.6-0.7,management,telephone,married
14,aug,605,2,no,21038,0.7463775411373949,0.9052261904761905,41,secondary,no,388,no,no,0.7-0.8,blue-collar,telephone,married
7,aug,420,3,no,19461,0.8760947424423026,0.9033088023088027,37,tertiary,no,2505,no,no,0.8-0.9,blue-collar,telephone,single
26,may,145,1,no,39581,0.7052475240887334,0.9026666666666666,54,tertiary,no,6507,no,no,0.7-0.8,technician,telephone,married
11,jul,595,2,no,14188,0.29965043478795084,0.902111111111111,40,secondary,no,178,yes,no,0.2-0.3,blue-collar,telephone,married
5,feb,693,2,no,30486,0.709099898965659,0.8987142857142858,30,tertiary,no,285,no,no,0.7-0.8,blue-collar,telephone,married
19,nov,800,6,no,26134,0.984974451695078,0.8974047619047618,53,secondary,no,2924,no,no,0.9-1.0,blue-collar,telephone,married
12,may,387,3,no,36772,0.5298364192216413,0.8969722222222223,36,tertiary,no,1514,yes,no,0.5-0.6,retired,telephone,single
19,jun,653,2,no,11427,0.22600509109603922,0.8966249999999999,45,secondary,no,1381,no,no,0.2-0.3,services,unknown,married
16,apr,640,2,no,32389,0.5448386171006127,0.8964285714285712,37,secondary,no,0,yes,no,0.5-0.6,blue-collar,telephone,single
20,apr,207,2,no,33228,0.6946816173022957,0.8957396214896214,37,secondary,no,756,yes,no,0.6-0.7,blue-collar,telephone,married
7,may,455,1,no,35223,0.7662764638603353,0.894238095238095,30,secondary,no,222,yes,no,0.7-0.8,blue-collar,telephone,single
22,may,563,1,no,39382,0.3183114507142745,0.8910634920634922,36,secondary,no,54,no,no,0.3-0.4,technician,telephone,single
18,nov,635,5,no,24880,0.384000249143861,0.8899682539682539,30,tertiary,no,414,no,no,0.3-0.4,management,telephone,single
11,may,577,1,no,36049,0.2641175140824915,0.8898571428571427,47,secondary,no,2548,yes,no,0.2-0.3,blue-collar,telephone,married
3,feb,151,1,no,29497,0.9169934714935293,0.8898095238095238,34,secondary,no,-75,no,no,0.9-1.0,blue-collar,telephone,married
2,mar,149,1,no,31207,0.8512581344064256,0.8873333333333333,36,tertiary,no,1381,no,no,0.8-0.9,technician,telephone,married
4,may,417,2,no,34334,0.6187782770885826,0.8863095238095237,32,tertiary,no,0,no,no,0.6-0.7,management,telephone,single
6,mar,136,1,no,31279,0.38886486182502417,0.8861666666666668,26,unknown,no,598,no,no,0.3-0.4,student,telephone,single
4,jun,357,2,no,8827,0.449182877878391,0.8854761904761904,26,secondary,no,-45,yes,no,0.4-0.5,blue-collar,unknown,married
19,jun,394,1,no,11372,0.439401445384313,0.8823928571428571,53,secondary,no,-112,no,no,0.4-0.5,blue-collar,unknown,married
14,may,484,3,no,37653,0.32954912006178555,0.8815194805194804,38,secondary,no,6182,yes,no,0.3-0.4,services,telephone,married
6,feb,193,1,no,30651,0.4894483867598149,0.8790555555555555,46,secondary,no,1352,yes,no,0.4-0.5,blue-collar,telephone,married
14,may,551,2,no,37894,0.8356037098394897,0.8785476190476189,34,secondary,no,384,yes,no,0.8-0.9,blue-collar,telephone,married
20,apr,271,1,no,33295,0.7669372021722579,0.8777609126984126,26,primary,no,52,yes,no,0.7-0.8,blue-collar,telephone,single
3,feb,248,2,no,29551,0.9502932364005665,0.8772142857142857,36,secondary,no,587,no,no,0.9-1.0,blue-collar,telephone,married
22,aug,607,4,no,22540,0.6502659701956156,0.8756904761904759,55,tertiary,no,1598,no,no,0.6-0.7,management,telephone,married
22,jul,464,5,no,16183,0.7059104203411153,0.8754285714285714,61,secondary,no,479,no,no,0.7-0.8,retired,telephone,married
26,may,362,1,no,39640,0.8789662378431253,0.8743333333333334,28,secondary,no,6551,no,no,0.8-0.9,technician,telephone,single
2,jun,479,3,no,8256,0.3174669642208079,0.8737727272727274,29,tertiary,no,2998,no,no,0.3-0.4,technician,unknown,single
5,feb,229,1,no,30225,0.8403626056346459,0.8732500000000001,72,primary,no,9160,no,no,0.8-0.9,retired,telephone,married
5,feb,248,4,no,30336,0.7943416045668679,0.8729761904761907,27,secondary,no,424,no,no,0.7-0.8,blue-collar,telephone,single
11,may,442,1,no,36141,0.3216239534320105,0.8729464285714285,41,unknown,no,419,yes,no,0.3-0.4,blue-collar,telephone,single
5,aug,683,2,no,19106,0.27873147974476975,0.872563492063492,32,tertiary,no,710,no,no,0.2-0.3,management,telephone,single
2,jun,509,2,no,8302,0.7104549508809823,0.871439393939394,37,secondary,no,673,yes,no,0.7-0.8,blue-collar,unknown,married
7,may,429,1,no,35235,0.9409447620088544,0.8699604562104563,38,secondary,no,673,yes,no,0.9-1.0,blue-collar,telephone,married
7,may,429,2,no,35529,0.5565527968698657,0.868702380952381,28,secondary,no,-181,yes,yes,0.5-0.6,blue-collar,telephone,single
4,may,227,2,no,34270,0.8909268794344135,0.8682103174603175,57,primary,no,606,no,no,0.8-0.9,retired,telephone,married
15,jul,603,11,no,14663,0.3067339786315386,0.8678253968253968,43,tertiary,no,1154,no,no,0.3-0.4,technician,telephone,single
16,apr,478,2,no,32443,0.30119975706156626,0.8649761904761903,34,tertiary,no,1943,yes,no,0.3-0.4,self-employed,telephone,single
22,jul,599,2,no,15997,0.5479722484943214,0.8610357142857141,48,secondary,no,-379,yes,no,0.5-0.6,blue-collar,telephone,married
12,feb,89,1,no,31051,0.4269148545570614,0.8603863636363636,83,primary,no,3349,no,no,0.4-0.5,retired,telephone,single
14,jul,425,3,no,14422,0.8483409234735321,0.8600952380952382,33,secondary,no,-110,no,no,0.8-0.9,blue-collar,telephone,single
22,apr,183,5,no,33724,0.5092145020372104,0.8580194805194804,37,tertiary,no,4174,no,no,0.5-0.6,management,telephone,married
5,may,414,5,no,34659,0.6606566378423387,0.8550238095238094,31,secondary,no,368,yes,no,0.6-0.7,blue-collar,telephone,married
18,may,663,2,no,39282,0.2665542814244273,0.853888888888889,25,secondary,no,286,yes,no,0.2-0.3,blue-collar,telephone,single
4,feb,264,1,no,29745,0.8465065849625268,0.8538492063492065,40,tertiary,no,1082,no,no,0.8-0.9,technician,telephone,married
3,feb,561,1,no,29506,0.8690381145426528,0.8485641025641028,40,secondary,no,0,yes,no,0.8-0.9,blue-collar,telephone,married
17,apr,294,2,no,32796,0.641750145013566,0.8482972331286284,44,secondary,no,266,yes,no,0.6-0.7,blue-collar,telephone,married
7,may,458,2,no,35476,0.2926230230443364,0.8481136363636363,27,secondary,no,8366,no,no,0.2-0.3,student,telephone,single
7,apr,354,1,no,31692,0.4694953510038939,0.8452460317460315,45,primary,no,0,no,no,0.4-0.5,entrepreneur,telephone,single
16,jul,419,2,no,14877,0.4825889407089576,0.8449999999999999,26,secondary,no,74,no,yes,0.4-0.5,blue-collar,telephone,single
13,may,1108,3,no,36984,0.2220787802515739,0.8433333333333334,33,secondary,no,241,yes,no,0.2-0.3,technician,telephone,married
7,jul,531,1,no,12856,0.287294960147447,0.8424642857142858,29,secondary,no,-28,no,no,0.2-0.3,technician,telephone,married
6,apr,437,2,no,31635,0.5659640492491508,0.8402701863354038,34,secondary,no,266,yes,no,0.5-0.6,blue-collar,telephone,single
18,jun,719,13,no,11296,0.24881310467244558,0.8394761904761906,33,secondary,no,3160,no,no,0.2-0.3,blue-collar,unknown,single
2,jun,673,1,no,39912,0.4978399177551773,0.8389711779448622,28,tertiary,no,5215,no,no,0.4-0.5,self-employed,telephone,single
9,apr,259,2,no,31893,0.6846759151324399,0.8387748917748918,35,secondary,no,159,yes,no,0.6-0.7,blue-collar,telephone,married
17,nov,1449,1,no,24440,0.5463352797100038,0.8376241174284651,58,secondary,no,-370,no,no,0.5-0.6,retired,telephone,married
3,apr,285,1,no,31565,0.36000043591476816,0.8368650793650795,42,tertiary,no,782,no,no,0.3-0.4,technician,telephone,married
7,apr,194,2,no,31688,0.5184868326917633,0.8360476190476192,36,secondary,no,39,yes,no,0.5-0.6,blue-collar,telephone,married
6,feb,270,5,no,30805,0.9755425105566333,0.832880952380952,31,secondary,no,1201,no,no,0.9-1.0,blue-collar,telephone,single
18,nov,466,1,no,24854,0.9942037807494866,0.8323730158730157,46,secondary,no,7378,no,no,0.9-1.0,blue-collar,telephone,married
19,nov,1283,1,no,25825,0.6671931837648744,0.8301904761904763,34,tertiary,no,0,yes,no,0.6-0.7,management,telephone,married
25,jul,481,3,no,17129,0.6980099738345875,0.8291190476190476,28,secondary,no,649,yes,no,0.6-0.7,blue-collar,telephone,single
21,nov,1166,1,no,27068,0.49855441635671127,0.8288095238095241,38,secondary,no,814,yes,no,0.4-0.5,blue-collar,telephone,married
17,apr,155,1,no,32536,0.9032211151248134,0.8240654761904761,39,primary,no,510,yes,no,0.9-1.0,blue-collar,telephone,married
29,jan,685,1,no,28370,0.2783209033538304,0.8238357142857143,26,primary,no,1213,no,no,0.2-0.3,unemployed,telephone,single
15,jul,374,5,no,14710,0.8191326459309198,0.8209761904761905,35,tertiary,no,2622,no,no,0.8-0.9,blue-collar,telephone,single
21,nov,573,3,no,27158,0.5491012018006785,0.8200714285714283,39,unknown,no,2822,no,no,0.5-0.6,unknown,telephone,single
6,jun,461,2,no,9595,0.2706510466264554,0.8187976190476189,35,secondary,no,640,no,no,0.2-0.3,blue-collar,unknown,married
17,jul,796,2,no,15158,0.24033265678911925,0.8174523809523808,59,tertiary,no,6108,yes,no,0.2-0.3,retired,telephone,married
26,may,245,3,no,39649,0.4956943487187854,0.8152817460317461,29,tertiary,no,15459,no,no,0.4-0.5,management,telephone,single
12,aug,483,5,no,20662,0.7611536900582304,0.812845238095238,47,tertiary,no,800,no,no,0.7-0.8,management,telephone,married
3,feb,542,1,no,29547,0.35130151281212607,0.8102664835164834,26,secondary,no,450,no,yes,0.3-0.4,blue-collar,telephone,single
1,jun,192,1,no,39805,0.3320865978090363,0.8094908209074876,52,primary,no,1629,no,no,0.3-0.4,retired,telephone,married
17,apr,344,2,no,32950,0.8178978125353822,0.8086309523809523,53,secondary,no,-163,yes,no,0.8-0.9,blue-collar,telephone,married
15,may,412,2,no,38406,0.6477287278553387,0.8080512820512822,26,secondary,no,626,yes,no,0.6-0.7,technician,telephone,single
8,aug,424,4,no,20044,0.36262457213834504,0.8011904761904762,52,primary,no,432,no,no,0.3-0.4,services,telephone,married
2,feb,159,1,no,28959,0.3202120747931139,0.8004197012138189,55,tertiary,no,446,no,no,0.3-0.4,management,telephone,married
9,apr,162,4,no,31859,0.7098586145022344,0.7999920634920636,58,tertiary,no,5253,no,no,0.7-0.8,retired,telephone,married
22,aug,138,1,no,22633,0.3327604628296651,0.799702380952381,33,tertiary,no,8971,no,no,0.3-0.4,unknown,telephone,married
13,may,388,1,no,37097,0.4080977807766406,0.798531746031746,31,tertiary,no,1536,yes,no,0.4-0.5,self-employed,telephone,single
13,may,390,1,no,37353,0.7072611563132172,0.7961753246753246,30,secondary,no,186,yes,no,0.7-0.8,blue-collar,telephone,single
25,may,214,1,no,39505,0.5166586010352581,0.7923571428571426,36,secondary,no,1054,yes,no,0.5-0.6,blue-collar,telephone,married
5,feb,462,1,no,30205,0.3243275628450538,0.7920952380952382,59,primary,no,19102,no,no,0.3-0.4,unemployed,telephone,married
2,feb,161,1,no,29208,0.8826128087982498,0.7920865800865801,33,secondary,no,3519,no,no,0.8-0.9,blue-collar,telephone,married
26,aug,515,13,no,23157,0.9375803860670965,0.7889206349206348,41,tertiary,no,1757,no,no,0.9-1.0,management,telephone,married
15,may,372,2,no,38531,0.872225905611689,0.7874444444444444,34,primary,no,390,yes,no,0.8-0.9,blue-collar,telephone,married
28,jan,468,1,no,27781,0.8071145500874752,0.7866852510234861,29,tertiary,no,8,no,no,0.8-0.9,blue-collar,telephone,single
4,feb,118,4,no,29803,0.9286588777039241,0.7778484848484848,37,secondary,no,496,no,no,0.9-1.0,blue-collar,telephone,married
15,may,665,1,no,38228,0.2148960352233551,0.7770317460317459,34,secondary,no,787,yes,no,0.2-0.3,housemaid,telephone,married
20,apr,111,1,no,33434,0.4811424467029066,0.7759746376811597,30,secondary,no,0,no,no,0.4-0.5,student,telephone,single
21,may,433,3,no,5177,0.31313947077296,0.7755,33,secondary,no,4369,yes,no,0.3-0.4,technician,unknown,married
14,apr,115,1,no,32082,0.5562975351145605,0.7751150793650794,56,secondary,no,3931,no,no,0.5-0.6,technician,telephone,married
5,may,623,1,no,34557,0.32901054303655924,0.774529301828258,36,tertiary,no,668,yes,no,0.3-0.4,management,telephone,married
6,may,403,1,no,34792,0.5666472273497607,0.7742738095238094,36,secondary,no,788,yes,no,0.5-0.6,blue-collar,telephone,married
17,apr,351,1,no,32627,0.5589995132240825,0.771089133089133,34,secondary,no,642,yes,no,0.5-0.6,blue-collar,telephone,married
20,nov,548,1,no,26591,0.39749102130310526,0.7707349317349315,34,tertiary,no,17672,no,no,0.3-0.4,blue-collar,telephone,married
18,jul,462,2,no,15514,0.3162416771219825,0.7706439393939394,29,secondary,no,1706,yes,no,0.3-0.4,technician,telephone,single
16,apr,474,2,no,32257,0.34513279565302923,0.7704166666666665,37,secondary,no,8311,yes,no,0.3-0.4,management,telephone,single
4,jun,597,7,no,8854,0.23711095922970976,0.770071428571429,30,tertiary,no,17036,yes,no,0.2-0.3,management,unknown,single
15,may,894,2,no,38442,0.7806487909028261,0.7693333333333332,41,secondary,no,2550,yes,no,0.7-0.8,blue-collar,telephone,married
21,jul,489,3,no,15564,0.7408962577003111,0.7691666666666666,26,secondary,no,49,no,no,0.7-0.8,blue-collar,telephone,single
23,may,168,1,no,5292,0.681443507421503,0.767940476190476,37,tertiary,no,4303,yes,no,0.6-0.7,blue-collar,unknown,married
17,apr,279,1,no,32594,0.7418798601004104,0.7633536414565826,31,secondary,no,314,yes,no,0.7-0.8,blue-collar,telephone,married
26,may,333,1,no,39556,0.5089842282866051,0.7631147186147187,29,secondary,no,923,no,no,0.5-0.6,unknown,telephone,single
5,feb,245,2,no,30398,0.6335005792748274,0.7630476190476191,36,tertiary,no,0,yes,no,0.6-0.7,management,telephone,married
8,jul,452,3,no,13270,0.3310660735097363,0.7627380952380953,38,secondary,no,0,no,no,0.3-0.4,blue-collar,telephone,single
20,nov,757,2,no,26399,0.2415319427959163,0.7621190476190478,37,tertiary,no,7100,no,no,0.2-0.3,management,telephone,married
2,feb,928,1,no,28958,0.3058234539041685,0.761952057746175,22,secondary,no,148,no,no,0.3-0.4,student,telephone,single
18,aug,471,2,no,21343,0.28356553341314167,0.7596677489177489,31,tertiary,no,350,no,no,0.2-0.3,management,telephone,single
20,apr,355,3,no,33649,0.5716347015817428,0.7587232767232766,38,primary,no,0,yes,no,0.5-0.6,services,telephone,married
11,may,443,1,no,36036,0.47285267493456684,0.7586051587301587,60,secondary,no,-396,yes,no,0.4-0.5,blue-collar,telephone,married
2,feb,371,1,no,28995,0.4254438031430298,0.7529569597069596,44,secondary,no,-1317,yes,no,0.4-0.5,technician,telephone,married
16,apr,156,1,no,32290,0.37717488592717546,0.7527401960784311,34,unknown,no,1534,yes,no,0.3-0.4,management,telephone,single
